id|fact|category|question|correct|wrong1|wrong2|wrong3|explanation|source
ga_08_28|hogwarts.admission.objects|Hogwarts|Which pair records the children eligible to attend Hogwarts?|Quill of Acceptance and Book of Admittance|Sorting Hat and Marauder's Map|Pensieve and Foe-Glass|Goblet of Fire and Triwizard Cup|The enchanted quill and book determine admission to Hogwarts.|admittance
ga_08_29|hatstall.threshold|Hogwarts|A Sorting lasting longer than what duration is called a Hatstall?|Five minutes|Thirty seconds|Two minutes|Ten minutes|A Hatstall lasts more than five minutes.|hatstall
ga_08_30|demiguise.camouflage|Magical creatures|How can a Demiguise hide itself from sight?|By becoming invisible|By turning into stone|By shrinking to a grain|By producing black smoke|A Demiguise can make itself invisible.|demiguise
ga_09_21|flamels.school|Wizarding schools|At which school did Nicolas and Perenelle Flamel meet?|Beauxbatons|Hogwarts|Durmstrang|Ilvermorny|The Flamels met while attending Beauxbatons.|beauxbatons
ga_09_22|grindelwald.school|Wizarding schools|Which school did Gellert Grindelwald attend?|Durmstrang|Hogwarts|Mahoutokoro|Castelobruxo|Grindelwald is an infamous former Durmstrang pupil.|durmstrang
ga_09_23|uagadou.invitations|Wizarding schools|How are prospective Uagadou students notified of admission?|Dream Messengers|Phoenix post|Talking mirrors|A singing hat|Uagadou uses Dream Messengers to deliver its invitations.|uagadou
ga_09_24|mahoutokoro.start.age|Wizarding schools|At what age can children begin attending Mahoutokoro as day pupils?|Seven|Nine|Eleven|Thirteen|Mahoutokoro accepts day pupils from seven.|mahoutokoro
ga_09_25|castelobruxo.robes|Wizarding schools|What colour robes do Castelobruxo students wear?|Bright green|Scarlet|Midnight blue|White|Castelobruxo's students wear bright green robes.|castelobruxo
ga_09_26|floo.price|Wizarding life|In Rowling's Floo Powder essay, what is its fixed price per scoop?|Two Sickles|One Galleon|Seven Knuts|Five Sickles|The essay gives the price as two Sickles a scoop.|floo-history
ga_09_27|firebolt.designer|Magical objects|Who developed the Firebolt racing broom?|Randolph Spudmore|Garrick Ollivander|Kennilworthy Whisp|Bowman Wright|Randolph Spudmore designed the Firebolt.|firebolt
ga_09_28|merlin.awarding.body|Wizarding life|Which body awards the Order of Merlin?|Wizengamot|Hogwarts Board of Governors|Gringotts|Dumbledore's Army|The Wizengamot awards the Order of Merlin.|merlin
ga_09_29|admittance.quill.bird|Hogwarts|Which bird is believed to have supplied the Quill of Acceptance's feather?|Augurey|Phoenix|Fwooper|Golden Snidget|Rowling says the feather is believed to come from an Augurey.|admittance
ga_09_30|leaky.true.address|Places|What is the Leaky Cauldron's wizarding street address?|Number one, Diagon Alley|Number four, Diagon Alley|Number twelve, Knockturn Alley|Number seven, Knockturn Alley|Its wizarding address is number one, Diagon Alley.|leaky
ga_10_21|castelobruxo.guards|Wizarding schools|What forest beings protect Castelobruxo at night?|Caipora|Centaurs|Pukwudgies|House-elves|Caipora guard the school and its grounds.|castelobruxo
ga_10_22|mahoutokoro.transport|Wizarding schools|How do Mahoutokoro's younger day pupils travel to school?|On giant storm petrels|On winged horses|In enchanted boats|On flying carpets|Giant storm petrels carry the day pupils.|mahoutokoro
ga_10_23|uagadou.address|Wizarding schools|What is Uagadou's famously imprecise address?|Mountains of the Moon|Valley of the Kings|Garden of the Stars|Cape of Good Hope|Uagadou's location is given as the Mountains of the Moon.|uagadou
ga_10_24|ilvermorny.founder|Wizarding history|Which Irish witch helped found Ilvermorny?|Isolt Sayre|Ignatia Wildsmith|Nerida Vulchanova|Artemisia Lufkin|Isolt Sayre establishes Ilvermorny with her family.|ilvermorny
ga_10_25|durmstrang.founder|Wizarding history|Who founded Durmstrang Institute?|Nerida Vulchanova|Helga Hufflepuff|Olympe Maxime|Gormlaith Gaunt|Its founder was the Bulgarian witch Nerida Vulchanova.|durmstrang
ga_10_26|sorting.hat.original.owner|Hogwarts|Which founder originally owned the Sorting Hat?|Godric Gryffindor|Salazar Slytherin|Rowena Ravenclaw|Helga Hufflepuff|The hat originally belonged to Godric Gryffindor.|sorting
ga_10_27|express.minister|Wizarding history|Which Minister proposed using a train to take pupils to Hogwarts?|Ottaline Gambol|Millicent Bagnold|Cornelius Fudge|Pius Thicknesse|Ottaline Gambol proposed the Hogwarts Express solution.|express
ga_10_28|hufflepuff.entrance.rhythm|Hogwarts|Whose name supplies the tapping rhythm for Hufflepuff's entrance?|Helga Hufflepuff|Pomona Sprout|Cedric Diggory|Newt Scamander|The correct barrel opens to the rhythm of Helga Hufflepuff.|hufflepuff-room
ga_10_29|mcgonagall.sorting.dilemma|Hogwarts|Between which two houses did the Hat deliberate over Minerva McGonagall?|Gryffindor and Ravenclaw|Gryffindor and Hufflepuff|Slytherin and Ravenclaw|Hufflepuff and Slytherin|Her Hatstall was between Gryffindor and Ravenclaw.|hatstall
ga_10_30|phoenix.core.rarity|Wandlore|Which is the rarest of Ollivander's three preferred wand cores?|Phoenix feather|Dragon heartstring|Unicorn hair|They are equally common|Phoenix feather is the rarest of the three.|cores
ga_11_21|potter.ancestor.linfred|Wizarding history|Which medieval healer is the ancestor nicknamed the Potterer?|Linfred of Stinchcombe|Ulick Gamp|Faris Spavin|Barberus Bragge|Linfred's nickname developed into the Potter surname.|potters
ga_11_22|fleamont.invention|Wizarding history|Which product made Fleamont Potter's fortune grow dramatically?|Sleekeazy's Hair Potion|Floo Powder|Pepperup Potion|Amortentia|Fleamont created and sold Sleekeazy's Hair Potion.|potters
ga_11_23|merlin.second.ribbon|Wizarding life|What colour ribbon accompanies the Order of Merlin, Second Class?|Purple|Green|White|Red|Second Class uses a purple ribbon.|merlin
ga_11_24|jokeshop.film.product.count|Film design|How many individual products did MinaLima design for the film's Weasleys' Wizard Wheezes shop?|120|40|80|200|The official studio feature credits MinaLima with 120 products.|film-props
ga_11_25|express.memory.charm.count|Wizarding history|How many Memory Charms do the secret records about obtaining the Hogwarts Express mention?|167|97|117|247|Rowling's account specifies 167 Memory Charms.|express
ga_11_26|knightbus.launch.year|Wizarding history|In which year did the Knight Bus first take to the streets?|1865|1765|1835|1905|The Knight Bus began service in 1865.|knightbus
ga_11_27|floo.licensed.producer|Wizarding life|What is Britain's only licensed Floo Powder producer called?|Floo-Pow|Floo-Fast|Floo-Go|Floo-Way|Floo-Pow controls licensed production in Britain.|floo-history
ga_11_28|bowtruckle.food|Magical creatures|Which offering can distract a Bowtruckle while a wandmaker approaches its tree?|Woodlice|Chocolate|Acorns|Pumpkin seeds|Bowtruckles accept woodlice or fairy eggs.|bowtruckle
ga_11_29|first.recorded.animagus|Wizarding history|Who is named as the first recorded Animagus?|Falco Aesalon|Garrick Ollivander|Herpo the Foul|Bridget Wenlock|The earliest recorded Animagus is Falco Aesalon.|animagi-history
ga_11_30|occamy.choranaptyxic|Magical creatures|An Occamy is choranaptyxic. What does that mean?|It changes size to fit its space|It sees through walls|It imitates human speech|It turns metal into glass|Occamies grow or shrink to fill the space available.|occamy
ga_12_21|uagadou.graduate.mugwump|Wizarding history|Which Uagadou graduate succeeded Dumbledore as Supreme Mugwump?|Babajide Akingbade|Harfang Munter|Ulick Gamp|Randolph Spudmore|Babajide Akingbade succeeded Dumbledore in that role.|uagadou
ga_12_22|mahoutokoro.island|Wizarding schools|On which volcanic island is Mahoutokoro's palace situated?|Minami Iwo Jima|Sado|Yakushima|Hachijo-jima|The school stands on Minami Iwo Jima.|mahoutokoro
ga_12_23|castelobruxo.quidditch.graduate|Quidditch history|Which Castelobruxo graduate captains the Tarapoto Tree-Skimmers?|Joao Coelho|Viktor Krum|Ludo Bagman|Oliver Wood|Joao Coelho is the school's celebrated Quidditch captain.|castelobruxo
ga_12_24|durmstrang.martial.curriculum|Wizarding history|Which early Durmstrang leader established its reputation for martial magic?|Harfang Munter|Igor Karkaroff|Armando Dippet|Phineas Nigellus Black|Harfang Munter developed the school's martial tradition.|durmstrang
ga_12_25|potter.peverell.marriage|Wizarding history|Which Peverell married Hardwin Potter, bringing the Invisibility Cloak into his family?|Iolanthe Peverell|Perenelle Peverell|Euphemia Peverell|Rionach Peverell|Iolanthe inherited the cloak and married Hardwin.|potters
ga_12_26|admittance.book.binding|Hogwarts|What material binds the Book of Admittance?|Black dragon-hide|White unicorn leather|Green snakeskin|Red phoenix feathers|The book is bound in peeling black dragon-hide.|admittance
ga_12_27|demiguise.hair.use|Magical creatures|Demiguise hair can be woven into what magical item?|Invisibility cloaks|Flying carpets|Sorting hats|Quidditch nets|Demiguise hair is used in some invisibility cloaks.|demiguise
ga_12_28|occamy.egg.material|Magical creatures|What precious material makes an Occamy's eggshell valuable?|Silver|Gold|Platinum|Copper|Occamy eggs have shells of pure soft silver.|occamy
ga_12_29|malfoy.name.meaning|Wizarding history|What does the Malfoy family name mean in old French?|Bad faith|Dark forest|Golden hand|High tower|Rowling explains Malfoy as meaning bad faith.|malfoys
ga_12_30|first.minister|Wizarding history|Who was Britain's first holder of the title Minister for Magic?|Ulick Gamp|Grogan Stump|Damocles Rowle|Albert Boot|Ulick Gamp became the first Minister for Magic.|ministers
ga_13_21|mahoutokoro.white.robes|Wizarding schools|What does a Mahoutokoro robe turning white indicate?|A serious magical-law violation|Top marks in every subject|A new first-year pupil|Selection as Quidditch captain|White robes signal conduct such as illegal Dark magic or breaching secrecy.|mahoutokoro
ga_13_22|james.steward.trade|Wizarding history|Before helping build Ilvermorny, what trade did James Steward practise in England?|Stonemason|Blacksmith|Tailor|Shipwright|James's stonemasonry experience helped him design the family's home.|ilvermorny
ga_13_23|harry.paternal.grandmother|Wizarding history|What is the first name of James Potter's mother?|Euphemia|Eileen|Kendra|Walburga|James's parents were Fleamont and Euphemia Potter.|potters
ga_13_24|gamp.beer.name|Wizarding life|What is the Leaky Cauldron's notoriously unpleasant beer named in honour of Gamp?|Gamp's Old Gregarious|Gamp's Golden Glory|Gamp's Grand Goblet|Gamp's Gentle Giant|The pub commemorated Gamp with Gamp's Old Gregarious.|leaky
ga_13_25|arcturus.merlin.award|Wizarding history|Which Black family member allegedly bought his First Class Order of Merlin through a Ministry loan?|Arcturus Black|Regulus Black|Sirius Black|Phineas Nigellus Black|Arcturus Black was widely believed to have obtained the honour this way.|merlin
ga_13_26|admittance.inkpot|Hogwarts|What is unusual about the Quill of Acceptance's silver inkpot?|It is empty|It contains blood|It is full of seawater|It is made of ice|The quill writes even though its inkpot is empty.|admittance
ga_13_27|neville.sorting.request|Hogwarts|Which house did Neville request while the Sorting Hat insisted on Gryffindor?|Hufflepuff|Ravenclaw|Slytherin|He requested no house|Neville initially felt safer choosing Hufflepuff.|hatstall
ga_13_28|first.female.minister|Wizarding history|Who was Britain's first female Minister for Magic?|Artemisia Lufkin|Millicent Bagnold|Eugenia Jenkins|Ottaline Gambol|Artemisia Lufkin became the first female Minister.|ministers
ga_13_29|armand.malfoy.arrival|Wizarding history|Armand Malfoy arrived in Britain with which ruler's invading army?|William the Conqueror|Henry VIII|Richard III|Oliver Cromwell|Armand arrived with William the Conqueror's Norman army.|malfoys
ga_13_30|newt.thunderbird.name|Fantastic Beasts|What name does Newt give the Thunderbird he rescues?|Frank|Teddy|Dougal|Pickett|Newt names the Thunderbird Frank.|thunderbird
ga_14_21|isolt.travel.alias|Wizarding history|What alias did Isolt Sayre use aboard the Mayflower?|Elias Story|William Sayre|James Steward|Webster Boot|Isolt crossed the Atlantic disguised as Elias Story.|ilvermorny
ga_14_22|uagadou.wandless.method|Wizarding schools|What is a traditional way Uagadou students cast spells without wands?|Finger pointing and hand gestures|Whistling through reeds|Writing on mirrors|Throwing coloured stones|Uagadou has a strong tradition of hand-based wandless magic.|uagadou
ga_14_23|spavin.leaky.speech.duration|Wizarding history|How long did Faris Spavin speak about the Leaky Cauldron's threatened demolition?|Seven hours|Thirty minutes|Two hours|Twelve hours|By the end of his seven-hour speech, others had resolved the problem.|leaky
ga_14_24|ministry.established.year|Wizarding history|In what year was Britain's Ministry of Magic formally established?|1707|1692|1752|1801|The Ministry was formally established in 1707.|ministers
ga_14_25|mclaird.communication|Wizarding history|What unusual method did Minister Lorcan McLaird favour for communication?|Puffs of smoke from his wand|Messages sung by owls|Writing on his hat|Enchanted playing cards|McLaird used expressive wand-smoke alongside very brief speech.|ministers
ga_14_26|lucius.father|Wizarding history|Who was Lucius Malfoy's father?|Abraxas Malfoy|Armand Malfoy|Septimus Malfoy|Nicholas Malfoy|Abraxas was Lucius's father.|malfoys
ga_14_27|demiguise.precognition|Magical creatures|Besides invisibility, what ability helps a Demiguise evade capture?|Foreseeing likely events|Breathing fire|Controlling the weather|Walking through stone|A Demiguise has precognitive sight.|demiguise
ga_14_28|sorting.hat.legilimency|Hogwarts|Which magical skill lets the Sorting Hat examine a wearer's thoughts?|Legilimency|Occlumency|Apparition|Arithmancy|The Hat uses Legilimency to read the wearer's mind.|sorting
ga_14_29|bowtruckle.maximum.height|Magical creatures|What maximum height does the official Bowtruckle fact file give?|Eight inches|Two feet|Three inches|Four feet|The fact file describes Bowtruckles as up to eight inches tall.|bowtruckle
ga_14_30|portkey.accidental.concert|Wizarding history|Whose concert did two Muggle dog-walkers reach by accidental Portkey in 2003?|Celestina Warbeck's|The Weird Sisters'|The Hobgoblins'|Lorcan d'Eath's|Rowling's Portkeys essay recounts their trip to Celestina's concert.|portkeys
ga_15_21|castelobruxo.potions.graduate|Wizarding schools|Which well-known Potions author attended Castelobruxo?|Libatius Borage|Adalbert Waffling|Quentin Trimble|Emeric Switch|Libatius Borage is a notable former Castelobruxo pupil.|castelobruxo
ga_15_22|linfred.remedy.origin|Wizarding history|Which pair of modern remedies developed from Linfred of Stinchcombe's work?|Skele-Gro and Pepperup Potion|Amortentia and Veritaserum|Felix Felicis and Polyjuice Potion|Wolfsbane and Draught of Living Death|Rowling traces Skele-Gro and Pepperup Potion back to Linfred.|potters
