id|fact|category|question|correct|wrong1|wrong2|wrong3|explanation|book|chapter|sourceURL
ga_02_41|ron.chess.sacrifice|Characters|In the first book, Harry Potter and the Philosopher's Stone, who sacrifices his chess piece so Harry can continue towards the Philosopher's Stone?|Ron Weasley|Neville Longbottom|Seamus Finnigan|Draco Malfoy|Ron sacrifices his knight to allow Harry to win the chess game. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 16.|ps|16|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps16/
ga_02_42|first.year.boat.guide|School life|In the first book, Harry Potter and the Philosopher's Stone, who takes first-year students across the lake to Hogwarts?|Hagrid|Filch|McGonagall|Flitwick|Hagrid guides the first-years across the lake in boats. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 6.|ps|6|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps6/
ga_02_43|fluffy.sleep.method|Magical obstacles|In the first book, Harry Potter and the Philosopher's Stone, what makes Fluffy fall asleep?|Music|Moonlight|Warm milk|A whispered password|Music sends Fluffy to sleep, allowing access to the trapdoor. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 16.|ps|16|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps16/
ga_02_44|gryffindor.initial.portrait|Portraits|In the first book, Harry Potter and the Philosopher's Stone, which portrait guards the entrance to Gryffindor Tower at the start of Harry's first year?|The Fat Lady|Sir Cadogan|Ariana Dumbledore|Phineas Nigellus Black|The Fat Lady's portrait guards the entrance to Gryffindor Tower. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 7.|ps|7|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps7/
ga_02_45|colin.camera.hobby|Characters|In the second book, Harry Potter and the Chamber of Secrets, which student repeatedly asks to photograph Harry with his camera?|Colin Creevey|Dennis Creevey|Justin Finch-Fletchley|Ernie Macmillan|Colin Creevey carries a camera and is eager to photograph Harry. This occurs in the second book, Harry Potter and the Chamber of Secrets, chapter 6.|cs|6|https://www.hp-lexicon.org/source/the-harry-potter-novels/cs/cs6/
ga_02_46|currency.silver.sickles|Currency|In the first book, Harry Potter and the Philosopher's Stone, which wizarding coins are made of silver?|Sickles|Galleons|Knuts|Sovereigns|Sickles are the silver coins in wizarding currency. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 5.|ps|5|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps5/
ga_02_47|lockhart.pixie.lesson|Creatures|In the second book, Harry Potter and the Chamber of Secrets, what creatures does Lockhart release during his first Defence lesson with Harry's class?|Cornish pixies|Doxies|Fairies|Billywigs|Lockhart releases Cornish pixies and then fails to control them. This occurs in the second book, Harry Potter and the Chamber of Secrets, chapter 6.|cs|6|https://www.hp-lexicon.org/source/the-harry-potter-novels/cs/cs6/
ga_02_48|stone.devils.snare.obstacle|Magical obstacles|In the first book, Harry Potter and the Philosopher's Stone, which plant traps the trio after they jump through the trapdoor?|Devil's Snare|Venomous Tentacula|Mimbulus mimbletonia|Gillyweed|The trio land in Devil's Snare beneath the trapdoor. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 16.|ps|16|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps16/
ga_02_49|stone.winged.key.challenge|Magical obstacles|In the first book, Harry Potter and the Philosopher's Stone, what must the trio catch to open a locked door beneath the trapdoor?|A winged key|A golden feather|A silver beetle|A flying coin|Harry catches the winged key that opens the next door. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 16.|ps|16|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps16/
ga_02_50|triwizard.school.count|School life|In the fourth book, Harry Potter and the Goblet of Fire, how many schools traditionally compete in the Triwizard Tournament?|Three|Two|Four|Five|The tournament traditionally involves Hogwarts, Beauxbatons and Durmstrang. This occurs in the fourth book, Harry Potter and the Goblet of Fire, chapter 12.|gf|12|https://www.hp-lexicon.org/source/the-harry-potter-novels/gf/gf12/
ga_03_41|harry.first.task.dragon|Magical creatures|In the fourth book, Harry Potter and the Goblet of Fire, which dragon does Harry face in the first Triwizard task?|Hungarian Horntail|Chinese Fireball|Common Welsh Green|Swedish Short-Snout|Harry draws the Hungarian Horntail for the first task. This occurs in the fourth book, Harry Potter and the Goblet of Fire, chapter 20.|gf|20|https://www.hp-lexicon.org/source/the-harry-potter-novels/gf/gf20/
ga_03_42|lockhart.arm.bones|Magical healing|In the second book, Harry Potter and the Chamber of Secrets, what does Lockhart accidentally remove when treating Harry's injured arm?|Its bones|Its skin|Its muscles|Its fingernails|Lockhart's spell removes the bones from Harry's arm instead of repairing them. This occurs in the second book, Harry Potter and the Chamber of Secrets, chapter 10.|cs|10|https://www.hp-lexicon.org/source/the-harry-potter-novels/cs/cs10/
ga_03_43|triwizard.minimum.age|School rules|In the fourth book, Harry Potter and the Goblet of Fire, how old must a student be to enter the Triwizard Tournament in Harry's fourth year?|Seventeen|Sixteen|Eighteen|Fifteen|The tournament's age restriction requires entrants to be at least seventeen. This occurs in the fourth book, Harry Potter and the Goblet of Fire, chapter 12.|gf|12|https://www.hp-lexicon.org/source/the-harry-potter-novels/gf/gf12/
ga_03_44|hermione.yule.partner|Celebrations|In the fourth book, Harry Potter and the Goblet of Fire, who accompanies Hermione to the Yule Ball?|Viktor Krum|Cedric Diggory|Roger Davies|Neville Longbottom|Hermione attends the Yule Ball with Viktor Krum. This occurs in the fourth book, Harry Potter and the Goblet of Fire, chapter 23.|gf|23|https://www.hp-lexicon.org/source/the-harry-potter-novels/gf/gf23/
ga_03_45|wood.keeper.position|Quidditch|In the first book, Harry Potter and the Philosopher's Stone, who is Gryffindor's Keeper when Harry joins the team?|Oliver Wood|Angelina Johnson|Lee Jordan|Adrian Pucey|Oliver Wood is the Gryffindor Keeper as well as the team's captain. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 11.|ps|11|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps11/
ga_03_46|hogwarts.work.robes.colour|School life|In the first book, Harry Potter and the Philosopher's Stone, what colour are the plain work robes on Harry's first school shopping list?|Black|Blue|Green|Purple|The equipment list specifies plain black work robes. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 5.|ps|5|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps5/
ga_03_47|knightbus.conductor.name|Transport|In the third book, Harry Potter and the Prisoner of Azkaban, what is the name of the Knight Bus conductor who greets Harry?|Stan Shunpike|Ernie Prang|Tom|Amos Diggory|Stan Shunpike is the conductor who welcomes Harry aboard the Knight Bus. This occurs in the third book, Harry Potter and the Prisoner of Azkaban, chapter 3.|pa|3|https://www.hp-lexicon.org/source/the-harry-potter-novels/pa/pa3/
ga_03_48|umbridge.quill.injury|Magical objects|In the fifth book, Harry Potter and the Order of the Phoenix, what happens to Harry's hand while he writes with Umbridge's detention quill?|The words are cut into his skin|His fingers turn blue|His hand becomes numb|The ink makes his nails grow|Umbridge's enchanted quill cuts the words into the back of Harry's hand. This occurs in the fifth book, Harry Potter and the Order of the Phoenix, chapter 13.|op|13|https://www.hp-lexicon.org/source/the-harry-potter-novels/op/op13/
ga_03_49|harry.first.robe.shop|Shops|In the first book, Harry Potter and the Philosopher's Stone, at which shop is Harry fitted for school robes when he first visits Diagon Alley?|Madam Malkin's|Twilfitt and Tatting's|Gladrags Wizardwear|Dervish and Banges|Harry visits Madam Malkin's to buy his school robes. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 5.|ps|5|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps5/
ga_03_50|monster.book.calming|Magical objects|In the third book, Harry Potter and the Prisoner of Azkaban, how should someone calm The Monster Book of Monsters?|Stroke its spine|Tap its cover three times|Blow on its pages|Read its title aloud|Stroking the book's spine makes it open without biting. This occurs in the third book, Harry Potter and the Prisoner of Azkaban, chapter 6.|pa|6|https://www.hp-lexicon.org/source/the-harry-potter-novels/pa/pa6/
ga_04_41|ron.owl.name|Characters|In the third book, Harry Potter and the Prisoner of Azkaban, what is the name of Ron's small owl?|Pigwidgeon|Errol|Hermes|Hedwig|Ron calls his small owl Pigwidgeon. This occurs in the third book, Harry Potter and the Prisoner of Azkaban, chapter 22.|pa|22|https://www.hp-lexicon.org/source/the-harry-potter-novels/pa/pa22/
ga_04_42|burrow.wedding.couple|Celebrations|In the seventh book, Harry Potter and the Deathly Hallows, whose wedding is celebrated at the Burrow shortly before the Ministry falls?|Bill and Fleur's|Remus and Tonks's|Percy and Audrey's|Charlie and Gabrielle's|Bill Weasley and Fleur Delacour marry at the Burrow. This occurs in the seventh book, Harry Potter and the Deathly Hallows, chapter 8.|dh|8|https://www.hp-lexicon.org/source/the-harry-potter-novels/dh/dh8/
ga_04_43|firenze.first.rescue|Creatures|In the first book, Harry Potter and the Philosopher's Stone, which centaur carries Harry to safety in the Forbidden Forest?|Firenze|Bane|Ronan|Magorian|Firenze carries Harry away from the danger in the forest. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 15.|ps|15|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps15/
ga_04_44|harry.yule.partner|Celebrations|In the fourth book, Harry Potter and the Goblet of Fire, who is Harry's partner at the Yule Ball?|Parvati Patil|Padma Patil|Cho Chang|Lavender Brown|Parvati Patil accompanies Harry to the Yule Ball. This occurs in the fourth book, Harry Potter and the Goblet of Fire, chapter 23.|gf|23|https://www.hp-lexicon.org/source/the-harry-potter-novels/gf/gf23/
ga_04_45|neville.boggart.snape|Boggarts|In the third book, Harry Potter and the Prisoner of Azkaban, what form does the Boggart first take when Neville faces it in Lupin's lesson?|Professor Snape|A giant spider|A Dementor|His grandmother|Neville's Boggart appears as Professor Snape. This occurs in the third book, Harry Potter and the Prisoner of Azkaban, chapter 7.|pa|7|https://www.hp-lexicon.org/source/the-harry-potter-novels/pa/pa7/
ga_04_46|harry.first.rita.interview|Characters|In the fourth book, Harry Potter and the Goblet of Fire, which reporter meets Harry before the weighing of the wands?|Rita Skeeter|Bertha Jorkins|Amelia Bones|Mafalda Hopkirk|Rita Skeeter interviews Harry before the champions' wands are examined. This occurs in the fourth book, Harry Potter and the Goblet of Fire, chapter 18.|gf|18|https://www.hp-lexicon.org/source/the-harry-potter-novels/gf/gf18/
ga_04_47|worldcup.winner.1994|Quidditch|In the fourth book, Harry Potter and the Goblet of Fire, which country wins the Quidditch World Cup final Harry attends?|Ireland|Bulgaria|England|Wales|Ireland win the final even though Bulgaria's Seeker catches the Snitch. This occurs in the fourth book, Harry Potter and the Goblet of Fire, chapter 8.|gf|8|https://www.hp-lexicon.org/source/the-harry-potter-novels/gf/gf8/
ga_04_48|harry.second.task.hostage|Triwizard tasks|In the fourth book, Harry Potter and the Goblet of Fire, which friend is Harry assigned to rescue from the lake during the second Triwizard task?|Ron Weasley|Hermione Granger|Ginny Weasley|Cho Chang|Ron is the person Harry must rescue from the lake. This occurs in the fourth book, Harry Potter and the Goblet of Fire, chapter 26.|gf|26|https://www.hp-lexicon.org/source/the-harry-potter-novels/gf/gf26/
ga_04_49|harry.tea.grim|Divination|In the third book, Harry Potter and the Prisoner of Azkaban, what does Trelawney call the spectral dog she claims to see in Harry's tea leaves?|The Grim|The Banshee|The Gytrash|The Kelpie|Trelawney identifies the shape in Harry's cup as the Grim. This occurs in the third book, Harry Potter and the Prisoner of Azkaban, chapter 6.|pa|6|https://www.hp-lexicon.org/source/the-harry-potter-novels/pa/pa6/
ga_04_50|wizard.hospital.name|Magical healing|In the fifth book, Harry Potter and the Order of the Phoenix, what is the name of the hospital Harry visits after Arthur is attacked?|St Mungo's|St Brutus's|St Oswald's|St Mary's|Arthur is treated at St Mungo's Hospital for Magical Maladies and Injuries. This occurs in the fifth book, Harry Potter and the Order of the Phoenix, chapter 22.|op|22|https://www.hp-lexicon.org/source/the-harry-potter-novels/op/op22/
ga_05_41|diary.destruction.instrument|Chamber of Secrets|In the second book, Harry Potter and the Chamber of Secrets, what instrument does Harry use to destroy Tom Riddle's diary?|A basilisk fang|Gryffindor's sword|His wand|A silver dagger|Harry pierces the diary with a basilisk fang. This occurs in the second book, Harry Potter and the Chamber of Secrets, chapter 17.|cs|17|https://www.hp-lexicon.org/source/the-harry-potter-novels/cs/cs17/
ga_05_42|fawkes.chamber.delivery|Chamber of Secrets|In the second book, Harry Potter and the Chamber of Secrets, what does Fawkes bring Harry inside the Chamber?|The Sorting Hat|The Invisibility Cloak|A broomstick|A Time-Turner|Fawkes brings the Sorting Hat into the Chamber. This occurs in the second book, Harry Potter and the Chamber of Secrets, chapter 17.|cs|17|https://www.hp-lexicon.org/source/the-harry-potter-novels/cs/cs17/
ga_05_43|nick.deathday.host|Ghosts|In the second book, Harry Potter and the Chamber of Secrets, whose five-hundredth Deathday Party do Harry, Ron and Hermione attend?|Nearly Headless Nick's|The Bloody Baron's|The Fat Friar's|The Grey Lady's|The trio attend Nearly Headless Nick's five-hundredth Deathday Party. This occurs in the second book, Harry Potter and the Chamber of Secrets, chapter 8.|cs|8|https://www.hp-lexicon.org/source/the-harry-potter-novels/cs/cs8/
ga_05_44|snape.narcissa.vow|Magical promises|In the sixth book, Harry Potter and the Half-Blood Prince, what magical promise does Snape make to Narcissa about helping Draco?|An Unbreakable Vow|A Fidelius Charm|A Protean Charm|A Wizard's Oath|Snape makes an Unbreakable Vow to help protect Draco and complete his task if necessary. This occurs in the sixth book, Harry Potter and the Half-Blood Prince, chapter 2.|hbp|2|https://www.hp-lexicon.org/source/the-harry-potter-novels/hbp/hbp2/
ga_05_45|harry.goyle.disguise|Disguises|In the second book, Harry Potter and the Chamber of Secrets, which Slytherin does Harry impersonate with Polyjuice Potion at Christmas?|Goyle|Crabbe|Malfoy|Flint|Harry uses Goyle's hair to assume his appearance. This occurs in the second book, Harry Potter and the Chamber of Secrets, chapter 12.|cs|12|https://www.hp-lexicon.org/source/the-harry-potter-novels/cs/cs12/
ga_05_46|ron.crabbe.disguise|Disguises|In the second book, Harry Potter and the Chamber of Secrets, which Slytherin does Ron impersonate with Polyjuice Potion at Christmas?|Crabbe|Goyle|Malfoy|Nott|Ron takes Crabbe's appearance for the visit to the Slytherin common room. This occurs in the second book, Harry Potter and the Chamber of Secrets, chapter 12.|cs|12|https://www.hp-lexicon.org/source/the-harry-potter-novels/cs/cs12/
ga_05_47|egg.bathroom.adviser|Triwizard tasks|In the fourth book, Harry Potter and the Goblet of Fire, who advises Harry to take the golden egg into the prefects' bathroom?|Cedric Diggory|Viktor Krum|Fleur Delacour|Percy Weasley|Cedric suggests opening the egg in the prefects' bathroom. This occurs in the fourth book, Harry Potter and the Goblet of Fire, chapter 25.|gf|25|https://www.hp-lexicon.org/source/the-harry-potter-novels/gf/gf25/
ga_05_48|firebolt.confiscator|Magical objects|In the third book, Harry Potter and the Prisoner of Azkaban, who confiscates Harry's Firebolt for safety checks after Hermione reports it?|Professor McGonagall|Professor Snape|Madam Hooch|Professor Flitwick|McGonagall takes the Firebolt away so it can be checked for curses. This occurs in the third book, Harry Potter and the Prisoner of Azkaban, chapter 11.|pa|11|https://www.hp-lexicon.org/source/the-harry-potter-novels/pa/pa11/
ga_05_49|harry.knightbus.alias|Disguises|In the third book, Harry Potter and the Prisoner of Azkaban, whose name does Harry give Stan Shunpike when he first boards the Knight Bus?|Neville Longbottom's|Dudley Dursley's|Ron Weasley's|Seamus Finnigan's|Harry gives Neville Longbottom's name when Stan asks who he is. This occurs in the third book, Harry Potter and the Prisoner of Azkaban, chapter 3.|pa|3|https://www.hp-lexicon.org/source/the-harry-potter-novels/pa/pa3/
ga_05_50|currency.sickles.per.galleon|Currency|In the first book, Harry Potter and the Philosopher's Stone, how many Sickles make one Galleon?|Seventeen|Twenty-nine|Twelve|Twenty-one|Seventeen silver Sickles are worth one gold Galleon. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 5.|ps|5|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps5/
ga_06_41|map.closing.phrase|Maps|In the third book, Harry Potter and the Prisoner of Azkaban, what phrase conceals the contents of the Marauder's Map?|Mischief managed|Solemnly sworn|Secrets concealed|Trouble ended|Mischief managed makes the map's contents disappear. This occurs in the third book, Harry Potter and the Prisoner of Azkaban, chapter 10.|pa|10|https://www.hp-lexicon.org/source/the-harry-potter-novels/pa/pa10/
ga_06_42|neville.first.cup.points|House points|In the first book, Harry Potter and the Philosopher's Stone, how many points does Neville earn for standing up to his friends at the end of Harry's first year?|Ten|Five|Twenty|Fifty|Neville earns ten points for his courage in confronting his friends. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 17.|ps|17|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps17/
ga_06_43|voldemort.restoration.blood|Voldemort's return|In the fourth book, Harry Potter and the Goblet of Fire, whose blood is used in the potion that restores Voldemort's body?|Harry Potter's|Cedric Diggory's|Peter Pettigrew's|Barty Crouch junior's|Wormtail takes Harry's blood for the potion that restores Voldemort. This occurs in the fourth book, Harry Potter and the Goblet of Fire, chapter 32.|gf|32|https://www.hp-lexicon.org/source/the-harry-potter-novels/gf/gf32/
ga_06_44|draco.midnight.duel.trap|School life|In the first book, Harry Potter and the Philosopher's Stone, who challenges Harry to a midnight duel but never arrives?|Draco Malfoy|Vincent Crabbe|Gregory Goyle|Marcus Flint|Draco arranges the duel but does not come to meet Harry. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 9.|ps|9|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps9/
ga_06_45|da.name.proposer|Characters|In the fifth book, Harry Potter and the Order of the Phoenix, who suggests the name Dumbledore's Army for the defence group?|Ginny Weasley|Luna Lovegood|Hermione Granger|Neville Longbottom|Ginny proposes the name Dumbledore's Army for the defence group. This occurs in the fifth book, Harry Potter and the Order of the Phoenix, chapter 18.|op|18|https://www.hp-lexicon.org/source/the-harry-potter-novels/op/op18/
ga_06_46|map.filch.custody|Maps|In the third book, Harry Potter and the Prisoner of Azkaban, who confiscated the Marauder's Map before Fred and George stole it?|Argus Filch|Severus Snape|Minerva McGonagall|Albus Dumbledore|Fred and George steal the map from Filch's office. This occurs in the third book, Harry Potter and the Prisoner of Azkaban, chapter 10.|pa|10|https://www.hp-lexicon.org/source/the-harry-potter-novels/pa/pa10/
ga_06_47|draco.duel.snake.spell|Duelling|In the second book, Harry Potter and the Chamber of Secrets, which incantation does Draco use to conjure a snake at the Duelling Club?|Serpensortia|Vipera Evanesca|Rictusempra|Tarantallegra|Draco casts Serpensortia to produce a snake during the duel. This occurs in the second book, Harry Potter and the Chamber of Secrets, chapter 11.|cs|11|https://www.hp-lexicon.org/source/the-harry-potter-novels/cs/cs11/
ga_06_48|harry.interview.publisher|Publications|In the fifth book, Harry Potter and the Order of the Phoenix, which magazine publishes Harry's account of Voldemort's return?|The Quibbler|The Daily Prophet|Witch Weekly|Transfiguration Today|The Quibbler publishes Harry's account of the events in the graveyard. This occurs in the fifth book, Harry Potter and the Order of the Phoenix, chapter 25.|op|25|https://www.hp-lexicon.org/source/the-harry-potter-novels/op/op25/
ga_06_49|ron.erised.head.boy|Christmas|In the first book, Harry Potter and the Philosopher's Stone, what school appointment does Ron see himself holding in the Mirror of Erised?|Head Boy|Headmaster|Caretaker|Librarian|Ron sees himself as Head Boy in the Mirror of Erised. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 12.|ps|12|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps12/
ga_06_50|colin.indirect.gaze|Magical objects|In the second book, Harry Potter and the Chamber of Secrets, what object protects Colin Creevey from the basilisk's direct gaze?|His camera|His spectacles|A pocket mirror|A window|Colin sees the basilisk through his camera rather than looking directly at it. This occurs in the second book, Harry Potter and the Chamber of Secrets, chapter 16.|cs|16|https://www.hp-lexicon.org/source/the-harry-potter-novels/cs/cs16/
ga_07_41|stone.potion.riddle.creator|Magical obstacles|In the first book, Harry Potter and the Philosopher's Stone, whose obstacle beneath the trapdoor is a puzzle involving bottles and a written riddle?|Severus Snape's|Filius Flitwick's|Minerva McGonagall's|Pomona Sprout's|Snape provides the bottle puzzle that protects the route to the Stone. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 16.|ps|16|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps16/
ga_07_42|yule.ball.band|Music|In the fourth book, Harry Potter and the Goblet of Fire, which band performs at the Yule Ball?|The Weird Sisters|The Hobgoblins|The Bent-Winged Snitches|The Banshees|The Weird Sisters perform at the Yule Ball. This occurs in the fourth book, Harry Potter and the Goblet of Fire, chapter 23.|gf|23|https://www.hp-lexicon.org/source/the-harry-potter-novels/gf/gf23/
ga_07_43|maze.riddle.creature|Triwizard tasks|In the fourth book, Harry Potter and the Goblet of Fire, which creature asks Harry a riddle in the maze?|A sphinx|A centaur|A manticore|A merperson|A sphinx challenges Harry with a riddle in the maze. This occurs in the fourth book, Harry Potter and the Goblet of Fire, chapter 31.|gf|31|https://www.hp-lexicon.org/source/the-harry-potter-novels/gf/gf31/
ga_07_44|hagrid.halfbrother.name|Characters|In the fifth book, Harry Potter and the Order of the Phoenix, who is Hagrid's giant half-brother?|Grawp|Karkus|Golgomath|Morholt|Grawp is Hagrid's younger giant half-brother. This occurs in the fifth book, Harry Potter and the Order of the Phoenix, chapter 30.|op|30|https://www.hp-lexicon.org/source/the-harry-potter-novels/op/op30/
ga_07_45|harry.first.chocolate.card|Chocolate Frog cards|In the first book, Harry Potter and the Philosopher's Stone, whose card is inside the first Chocolate Frog Harry opens on the train?|Albus Dumbledore's|Merlin's|Morgana's|Hengist of Woodcroft's|Harry's first Chocolate Frog card depicts Albus Dumbledore. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 6.|ps|6|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps6/
ga_07_46|patronus.practice.substitute|Defence lessons|In the third book, Harry Potter and the Prisoner of Azkaban, what creature does Lupin use to imitate a Dementor during Harry's Patronus lessons?|A Boggart|A Grindylow|A Hinkypunk|A Red Cap|Lupin uses a Boggart in Dementor form for Harry's private lessons. This occurs in the third book, Harry Potter and the Prisoner of Azkaban, chapter 12.|pa|12|https://www.hp-lexicon.org/source/the-harry-potter-novels/pa/pa12/
ga_07_47|riddle.hagrid.false.accusation.creature|Voldemort's past|In the second book, Harry Potter and the Chamber of Secrets, what creature does young Hagrid hide when Riddle accuses him of opening the Chamber?|Aragog|Norbert|Fluffy|Fang|Riddle finds Hagrid hiding Aragog and falsely blames the creature for the attacks. This occurs in the second book, Harry Potter and the Chamber of Secrets, chapter 13.|cs|13|https://www.hp-lexicon.org/source/the-harry-potter-novels/cs/cs13/
ga_07_48|ron.stone.chess.piece|Magical obstacles|In the first book, Harry Potter and the Philosopher's Stone, which chess piece does Ron take the place of beneath the trapdoor?|A knight|A bishop|A rook|A pawn|Ron replaces a knight on the enchanted chessboard. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 16.|ps|16|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps16/
ga_07_49|twins.departure.swamp|Pranks|In the fifth book, Harry Potter and the Order of the Phoenix, what do Fred and George leave behind in a Hogwarts corridor before flying away?|A portable swamp|A field of Mandrakes|An enchanted snowstorm|A pool of ink|The twins leave a portable swamp behind as part of their departure. This occurs in the fifth book, Harry Potter and the Order of the Phoenix, chapter 29.|op|29|https://www.hp-lexicon.org/source/the-harry-potter-novels/op/op29/
ga_07_50|dumbledore.mirror.warning|Magical objects|In the first book, Harry Potter and the Philosopher's Stone, what does Dumbledore say is unwise to dwell on instead of living?|Dreams|Schoolwork|Friendship|Courage|Dumbledore warns Harry against dwelling on dreams and forgetting to live. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 12.|ps|12|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps12/
