id|fact|category|question|correct|wrong1|wrong2|wrong3|explanation|source
ga_02_40|peeves.kind.poltergeist|Characters and history|What kind of mischievous being is Peeves?|Poltergeist|House-elf|Dementor|Boggart|Peeves is Hogwarts' resident poltergeist.|peeves-profile
ga_03_31|ron.favourite.team|Characters and history|Which professional Quidditch team does Ron support?|Chudley Cannons|Holyhead Harpies|Wimbourne Wasps|Puddlemere United|Ron remains devoted to the Chudley Cannons.|ron-profile
ga_03_32|harry.wand.core|Characters and history|What is the core of Harry's original Ollivanders wand?|Phoenix feather|Unicorn hair|Dragon heartstring|Veela hair|A phoenix feather forms the core of his first wand.|harry-profile
ga_03_33|hermione.wand.wood|Characters and history|What wood is Hermione's original wand made from?|Vine|Holly|Willow|Ash|Hermione's first wand is made from vine.|hermione-profile
ga_03_34|ron.middle.name|Characters and history|What is Ron Weasley's middle name?|Bilius|Percival|Wulfric|Marvolo|His full name is Ronald Bilius Weasley.|ron-profile
ga_03_35|order.phoenix.founder|Characters and history|Who founded the Order of the Phoenix?|Albus Dumbledore|Cornelius Fudge|Lucius Malfoy|Gilderoy Lockhart|Dumbledore created the organisation to resist Voldemort.|dumbledore-profile
ga_03_36|hermione.family.background|Characters and history|How is Hermione's magical family background described?|Muggle-born|Pure-blood|Squib|Half-giant|Hermione is a witch born to non-magical parents.|hermione-profile
ga_03_37|thestrals.carriage.work|Magical creatures|What pulls Hogwarts' apparently horseless carriages?|Thestrals|Hippogriffs|Centaurs|Unicorns|Thestrals pull the carriages even when passengers cannot see them.|thestral-profile
ga_03_38|mirror.erised.function|Wizarding objects|What does the Mirror of Erised reveal about its viewer?|Their deepest desire|Their exact future|Their worst memory|Their next exam result|The mirror reflects longing rather than a guaranteed future.|mirror-profile
ga_03_39|stone.metal.transformation|Wizarding objects|Into which metal can the Philosopher's Stone transform other metals?|Gold|Silver|Copper|Iron|Turning metals into gold is one of the Stone's powers.|stone-profile
ga_03_40|unicorn.foal.colour|Magical creatures|What colour are unicorns when first born?|Golden|White|Blue|Black|The foals are golden before their colour changes with age.|unicorn-profile
ga_04_31|hermione.middle.name|Characters and history|What is Hermione Granger's middle name?|Jean|Jane|June|Joan|Her full name is Hermione Jean Granger.|hermione-profile
ga_04_32|hermione.wand.core|Characters and history|What is inside Hermione's original wand?|Dragon heartstring|Phoenix feather|Unicorn hair|Thestral hair|Her vine wand contains dragon heartstring.|hermione-profile
ga_04_33|filch.magical.status|Characters and history|Why can Argus Filch not perform magic despite his wizarding background?|He is a Squib|He is an Animagus|He is a ghost|He is a Seer|A Squib is born into a magical family without magical ability.|filch-profile
ga_04_34|dumbledore.dragon.blood.uses|Characters and history|How many uses of dragon's blood is Dumbledore credited with discovering?|Twelve|Three|Seven|Twenty|The official character profile credits him with twelve uses.|dumbledore-profile
ga_04_35|molly.favourite.singer|Characters and history|Which singer does Molly Weasley enjoy listening to?|Celestina Warbeck|Rita Skeeter|Sybill Trelawney|Bathilda Bagshot|Celestina Warbeck is among Molly's musical favourites.|molly-profile
ga_04_36|arthur.ministry.office|Characters and history|Which office does Arthur Weasley run early in Harry's story?|Misuse of Muggle Artefacts Office|Auror Office|Portkey Office|Improper Use of Magic Office|Arthur's work concerns enchanted Muggle objects.|arthur-profile
ga_04_37|ginny.signature.hex|Characters and history|Which hex is a particular speciality of Ginny Weasley?|Bat-Bogey Hex|Leg-Locker Curse|Jelly-Legs Jinx|Full Body-Bind Curse|Ginny is especially accomplished at the Bat-Bogey Hex.|ginny-profile
ga_04_38|cedric.house.membership|Characters and history|Which Hogwarts house does Cedric Diggory represent?|Hufflepuff|Gryffindor|Ravenclaw|Slytherin|Cedric is a Hufflepuff student and Quidditch captain.|cedric-profile
ga_04_39|unicorn.blood.cost|Magical creatures|What is the terrible cost of drinking unicorn blood to survive?|A cursed half-life|Permanent invisibility|Immediate loss of all memories|Turning into a unicorn|The blood preserves life but leaves the drinker cursed.|unicorn-profile
ga_04_40|pettigrew.animagus.form|Characters and history|What animal is Peter Pettigrew's Animagus form?|Rat|Dog|Stag|Cat|Pettigrew hides in the form of a rat.|pettigrew-profile
ga_05_31|marauders.moony.identity|Wizarding objects|Which Marauder uses the nickname Moony?|Remus Lupin|James Potter|Sirius Black|Peter Pettigrew|Moony is Lupin's name on the map.|map-profile
ga_05_32|marauders.prongs.identity|Wizarding objects|Which Marauder uses the nickname Prongs?|James Potter|Remus Lupin|Sirius Black|Peter Pettigrew|Prongs is James Potter's map alias.|map-profile
ga_05_33|marauders.padfoot.identity|Wizarding objects|Which Marauder uses the nickname Padfoot?|Sirius Black|James Potter|Remus Lupin|Peter Pettigrew|Padfoot is Sirius Black's map alias.|map-profile
ga_05_34|marauders.wormtail.identity|Wizarding objects|Which Marauder uses the nickname Wormtail?|Peter Pettigrew|James Potter|Sirius Black|Remus Lupin|Wormtail is Pettigrew's map alias.|map-profile
ga_05_35|stone.elixir.product|Wizarding objects|Which life-prolonging substance can the Philosopher's Stone produce?|Elixir of Life|Veritaserum|Felix Felicis|Wolfsbane Potion|The Elixir of Life sustains its drinker's life.|stone-profile
ga_05_36|stone.alchemist.creator|Wizarding objects|Which alchemist is famous for creating the Philosopher's Stone?|Nicolas Flamel|Garrick Ollivander|Libatius Borage|Gilderoy Lockhart|Flamel is the alchemist associated with the Stone.|stone-profile
ga_05_37|hippogriff.approach.etiquette|Magical creatures|What should you do before approaching a Hippogriff?|Bow and wait for its bow|Run towards it|Pull its feathers|Stare without moving|A returned bow signals that an approach is acceptable.|hippogriff-profile
ga_05_38|dementor.kiss.effect|Magical creatures|What does a Dementor's Kiss remove?|A person's soul|Their wand core|Their shadow|Their voice only|The victim remains alive but loses their soul.|dementor-profile
ga_05_39|dementor.feeding.emotion|Magical creatures|What do Dementors drain from people nearby?|Happiness|Magical knowledge|Physical height|Hair colour|Their presence drains happiness and brings despair.|dementor-profile
ga_05_40|boggart.assumed.form|Magical creatures|What determines the form a Boggart takes when confronted?|The observer's greatest fear|The current moon phase|The nearest animal|The observer's house|It changes into whatever most frightens the person facing it.|boggart-profile
ga_06_31|spell.aguamenti.water|Spells and magic|Which incantation conjures water from a wand?|Aguamenti|Diffindo|Silencio|Engorgio|Aguamenti produces water that can be drunk.|water-charm
ga_06_32|spell.diffindo.severing|Spells and magic|Which incantation is used for the Severing Charm?|Diffindo|Reparo|Sonorus|Protego|Diffindo cuts or tears its target.|severing-charm
ga_06_33|spell.reducto.effect|Spells and magic|What does the Reductor Curse, Reducto, do?|Blasts solid objects apart|Mends broken objects|Makes objects float|Changes an object's colour|Reducto breaks solid targets into pieces.|reductor-curse
ga_06_34|spell.engorgio.effect|Spells and magic|What is the purpose of Engorgio?|Enlarging a target|Silencing a target|Unlocking a door|Producing light|Engorgio is the Engorgement Charm.|engorgement-charm
ga_06_35|spell.silencio.effect|Spells and magic|Which spell silences its target?|Silencio|Sonorus|Lumos|Portus|Silencio prevents the target from making sound.|everyday-spells
ga_06_36|ron.replacement.wand.wood|Characters and history|What wood is Ron's new wand, bought after his first wand breaks, made from?|Willow|Vine|Holly|Yew|His replacement wand is willow with unicorn hair.|ron-profile
ga_06_37|ginny.school.positions|Characters and history|Which two positions does Ginny play for Gryffindor?|Chaser and Seeker|Keeper and Beater|Chaser and Keeper|Seeker and Beater|Ginny plays both Chaser and Seeker during her school career.|ginny-profile
ga_06_38|cedric.girlfriend.identity|Characters and history|Who is Cedric Diggory's girlfriend during the Triwizard Tournament?|Cho Chang|Luna Lovegood|Lavender Brown|Parvati Patil|Cedric is dating Cho during the fourth story, Harry Potter and the Goblet of Fire.|cedric-profile
ga_06_39|myrtle.bathroom.floor|Characters and history|On which floor is the girls' bathroom haunted by Moaning Myrtle?|Second|First|Fourth|Seventh|Myrtle haunts the second-floor bathroom.|myrtle-profile
ga_06_40|great.hall.lighting|Hogwarts and places|What floats above the Great Hall's tables to provide light?|Candles|Lantern-bearing owls|Glowing cauldrons|Crystal balls|Floating candles illuminate the hall.|great-hall
ga_07_31|arthur.aeroplane.ambition|Characters and history|What does Arthur Weasley long to understand about Muggle aeroplanes?|How they stay airborne|How they become invisible|How they brew fuel|How they cast spells|Arthur is fascinated by non-magical flight.|arthur-profile
ga_07_32|arthur.plug.collection|Characters and history|Which small Muggle electrical objects does Arthur collect?|Plugs|Microphones|Watches|Light bulbs|The official profile lists collecting plugs among his hobbies.|arthur-profile
ga_07_33|myrtle.house.membership|Characters and history|Which house did Myrtle belong to while alive?|Ravenclaw|Slytherin|Hufflepuff|Gryffindor|Myrtle was a Ravenclaw student before becoming a ghost.|myrtle-profile
ga_07_34|myrtle.surname.warren|Characters and history|What is Moaning Myrtle's surname?|Warren|Brown|Bones|Bulstrode|Her name is Myrtle Warren.|myrtle-profile
ga_07_35|pettigrew.house.membership|Characters and history|Which house was Peter Pettigrew Sorted into?|Gryffindor|Slytherin|Ravenclaw|Hufflepuff|Pettigrew was a Gryffindor with the other Marauders.|pettigrew-profile
ga_07_36|sirius.house.membership|Characters and history|Which house did Sirius Black join, unlike many of his relatives?|Gryffindor|Slytherin|Ravenclaw|Hufflepuff|Sirius and James Potter were both Gryffindors.|sirius-profile
ga_07_37|spell.ferula.bandages|Spells and magic|Which spell does Lupin use to conjure bandages in the third book, Harry Potter and the Prisoner of Azkaban?|Ferula|Tergeo|Quietus|Orchideous|Ferula supplies bandages for Ron's injured leg.|lesser-spells
ga_07_38|spell.quietus.counter|Spells and magic|Which spell returns an amplified voice to its ordinary volume?|Quietus|Sonorus|Aguamenti|Dissendium|Quietus reverses Sonorus.|lesser-spells
ga_07_39|spell.glisseo.stairs|Spells and magic|What does Glisseo do to a staircase?|Turns it into a slide|Makes it invisible|Splits it in half|Turns it into a ladder|Hermione uses this escape spell in the seventh book, Harry Potter and the Deathly Hallows.|everyday-spells
ga_07_40|spell.bombarda.explosion|Spells and magic|In the Harry Potter films, what is Bombarda used to create?|An explosion|A protective shield|A memory|A rain cloud|Bombarda breaks obstacles with an explosive blast.|bombardment-spell
ga_08_31|room.requirement.floor|Hogwarts and places|On which Hogwarts floor is the Room of Requirement's usual entrance?|Seventh|Third|Fifth|First|Its entrance is concealed on the seventh floor.|room-profile
ga_08_32|room.requirement.passes|Hogwarts and places|How many times must someone pass the Room of Requirement's wall while concentrating on their need?|Three|Two|Four|Seven|Walking past three times can make the entrance appear.|room-profile
ga_08_33|room.requirement.tapestry|Hogwarts and places|Who is depicted trying to teach trolls ballet opposite the Room of Requirement?|Barnabas the Barmy|Uric the Oddball|Boris the Bewildered|Wendelin the Weird|Barnabas appears in the tapestry opposite the hidden entrance.|room-profile
ga_08_34|hippogriff.anatomy|Magical creatures|A Hippogriff combines features of which two animals?|Horse and eagle|Lion and eagle|Horse and swan|Lion and dragon|Its body combines equine and eagle features.|hippogriff-profile
ga_08_35|hippogriff.draco.injury|Magical creatures|In the third story, Harry Potter and the Prisoner of Azkaban, whom does Buckbeak injure after being insulted?|Draco Malfoy|Neville Longbottom|Seamus Finnigan|Dean Thomas|Draco ignores Hagrid's warning to treat Buckbeak respectfully.|hippogriff-profile
ga_08_36|acromantula.origin|Magical creatures|Where did Acromantulas originally come from?|Borneo|Iceland|Egypt|Peru|Their original habitat is Borneo's jungles.|acromantula-profile
ga_08_37|acromantula.speech|Magical creatures|Which unusual ability do Acromantulas possess?|Human speech|Turning metal into gold|Reading sealed letters|Becoming smoke|These enormous spiders can speak.|acromantula-profile
ga_08_38|puffskein.pygmy.breed|Magical creatures|Pygmy Puffs are a miniature breed of which creature?|Puffskein|Niffler|Bowtruckle|Kneazle|The Weasley twins bred them from Puffskeins.|puffskein-profile
ga_08_39|ginny.arnold.pet|Magical creatures|What does Ginny name her Pygmy Puff?|Arnold|Trevor|Errol|Scabbers|Ginny's small fluffy pet is Arnold.|puffskein-profile
ga_08_40|dementor.temperature.effect|Magical creatures|What happens to the surroundings when Dementors approach?|They become cold|They become brightly lit|They become warmer|They become weightless|Dementors bring a marked chill with their presence.|dementor-profile
ga_09_31|dumbledore.full.name|Characters and history|Which sequence completes Albus Dumbledore's full name?|Percival Wulfric Brian|Brian Percival Wulfric|Wulfric Brian Percival|Percival Brian Wulfric|His name is Albus Percival Wulfric Brian Dumbledore.|dumbledore-profile
ga_09_32|trelawney.teaching.subject|Characters and history|What subject does Sybill Trelawney teach?|Divination|Arithmancy|Ancient Runes|Astronomy|Divination concerns attempts to foresee the future.|trelawney-profile
ga_09_33|trelawney.house.membership|Characters and history|Which Hogwarts house did Sybill Trelawney belong to?|Ravenclaw|Gryffindor|Slytherin|Hufflepuff|The official character profile identifies her as a Ravenclaw.|trelawney-profile
ga_09_34|lockhart.house.membership|Characters and history|Which Hogwarts house was Gilderoy Lockhart in?|Ravenclaw|Slytherin|Gryffindor|Hufflepuff|Rowling's Lockhart essay places him in Ravenclaw.|lockhart-history
ga_09_35|quirrell.turban.secret|Characters and history|What does Quirrell's turban conceal in the first story, Harry Potter and the Philosopher's Stone?|Voldemort's face|A stolen phoenix egg|A second wand|The Philosopher's Stone|Voldemort's face emerges on the back of Quirrell's head.|quirrell-history
ga_09_36|centaur.divination.sky|Magical creatures|What do centaurs study to interpret the future?|Movements in the night sky|Patterns in teacups|Lines on human palms|Numbers on playing cards|Centaur Divination centres on celestial movements.|centaur-profile
ga_09_37|erumpent.horn.fluid|Magical creatures|Why is an Erumpent's horn especially dangerous?|Its fluid causes explosions|It produces freezing fog|It erases memories|It summons lightning|The fluid explodes after being injected into a target.|erumpent-profile
ga_09_38|map.tracking.charm|Wizarding objects|Which charm enables the Marauder's Map to track people?|Homonculous Charm|Protean Charm|Fidelius Charm|Bubble-Head Charm|The map uses the Homonculous Charm.|map-profile
ga_09_39|mirror.dumbledore.claim|Wizarding objects|In the first book, Harry Potter and the Philosopher's Stone, what does Dumbledore claim to see in the Mirror of Erised?|Himself holding woollen socks|Himself holding the Elder Wand|Himself winning the House Cup|Himself eating sherbet lemons|He claims to see socks; this is his stated answer, not confirmation of his true desire.|mirror-profile
ga_09_40|boggart.defeat.laughter|Magical creatures|Besides the Riddikulus spell, what helps defeat a Boggart?|Laughter|Silence|Tears|Anger|Making the frightening image ridiculous enables laughter to overcome it.|boggart-profile
ga_10_31|spell.orchideous.flowers|Spells and magic|Which spell conjures a bouquet?|Orchideous|Ferula|Portus|Tergeo|Ollivander uses Orchideous during wand testing in the fourth book, Harry Potter and the Goblet of Fire.|lesser-spells
ga_10_32|spell.portus.creation|Spells and magic|Which incantation turns an object into a Portkey?|Portus|Accio|Reparo|Colloportus|Portus enchants an object for transport.|lesser-spells
ga_10_33|spell.liberacorpus.counter|Spells and magic|What is the counter-jinx to Levicorpus?|Liberacorpus|Petrificus Totalus|Locomotor Mortis|Levicorpus Maxima|Liberacorpus releases the suspended victim.|lesser-spells
ga_10_34|prior.incantato.function|Spells and magic|What does Prior Incantato reveal?|The last spell cast by a wand|The owner's deepest fear|The wand's purchase price|The owner's next spell|It exposes the wand's most recent magic.|prior-spell
ga_10_35|gillyweed.native.habitat|Characters and history|To which sea is Gillyweed native?|Mediterranean Sea|Baltic Sea|North Sea|Caribbean Sea|The official plant profile gives its Mediterranean origin.|gillyweed-profile
ga_10_36|unicorn.horn.age|Magical creatures|At what age does a unicorn develop its horn?|Four years|One year|Seven years|Ten years|The horn develops at four, before the adult white colouring.|unicorn-profile
ga_10_37|acromantula.classification|Magical creatures|What Ministry danger classification does an Acromantula have?|Five Xs|Two Xs|Three Xs|Four Xs|Acromantulas receive the highest five-X classification.|acromantula-profile
ga_10_38|puffskein.happy.sound|Magical creatures|What sound does a happy Puffskein make?|A low hum|A sharp bark|A shrill whistle|A metallic clicking|Contented Puffskeins hum.|puffskein-profile
ga_10_39|erumpent.spell.defence|Magical creatures|What protects an Erumpent against many spells?|Its thick hide|Its golden feathers|Its silver tears|Its transparent shell|Its tough skin repels charms and curses.|erumpent-profile
ga_10_40|centaur.firenze.exile|Magical creatures|Why is Firenze expelled from his herd?|For helping humans|For losing his bow|For becoming an Animagus|For stealing unicorn hair|The herd treats his assistance to humans as a betrayal.|centaur-profile
ga_11_31|umbridge.middle.name|Characters and history|What is Dolores Umbridge's middle name?|Jane|Jean|June|Joan|Rowling gives her full name as Dolores Jane Umbridge.|umbridge-history
ga_11_32|umbridge.father.name|Characters and history|What is the first name of Dolores Umbridge's father?|Orford|Oswald|Oliver|Owen|Her father is the wizard Orford Umbridge.|umbridge-history
ga_11_33|lupin.father.name|Characters and history|What is Remus Lupin's father's name?|Lyall Lupin|Lysander Lupin|Lancelot Lupin|Laurence Lupin|Rowling names Remus's father Lyall.|lupin-history
ga_11_34|lupin.mother.name|Characters and history|What is Remus Lupin's mother's maiden name?|Hope Howell|Isobel Ross|Ellen Cracknell|Eileen Prince|Hope Howell is Remus's Muggle mother.|lupin-history
ga_11_35|mcgonagall.mother.name|Characters and history|What is Minerva McGonagall's mother's maiden name?|Isobel Ross|Hope Howell|Ellen Cracknell|Kendra Dumbledore|Isobel Ross marries Robert McGonagall.|mcgonagall-history
ga_11_36|mcgonagall.father.profession|Characters and history|What is the profession of Minerva McGonagall's Muggle father?|Presbyterian minister|Farmer|Railway engineer|Doctor|Robert McGonagall is a Scottish Presbyterian minister.|mcgonagall-history
ga_11_37|lockhart.award.smile|Characters and history|How many consecutive Most-Charming-Smile Awards does Lockhart win?|Five|Three|Seven|Ten|Witch Weekly awards him the honour five times running.|lockhart-history
ga_11_38|lockhart.real.speciality|Characters and history|Which branch of magic does Lockhart perfect to steal others' achievements?|Memory Charms|Transfiguration|Healing magic|Divination|He alters others' memories and claims their successes.|lockhart-history
ga_11_39|trelawney.seer.ancestor|Characters and history|Which famous Seer is Sybill Trelawney's great-great-grandmother?|Cassandra Trelawney|Morgana Trelawney|Callidora Trelawney|Celestina Trelawney|Rowling identifies Cassandra as the source of the family's prophetic gift.|trelawney-history
ga_11_40|woods.alder.nonverbal|Wizarding objects|According to Ollivander's notes, which wood particularly suits nonverbal magic?|Alder|Dogwood|Blackthorn|Beech|Alder is especially suited to casting without spoken incantations.|wand-woods-new
ga_12_31|mcgonagall.husband.identity|Characters and history|Whom does Minerva McGonagall marry in Rowling's account of her life?|Elphinstone Urquart|Dougal McGregor|Robert McGonagall|Dedalus Diggle|She marries her former Ministry boss, Elphinstone.|mcgonagall-history
ga_12_32|mcgonagall.husband.death|Characters and history|What kills McGonagall's husband in Rowling's biography?|A Venomous Tentacula bite|A dragon attack|A broom crash|A potion explosion|Elphinstone dies following the plant's bite.|mcgonagall-history
ga_12_33|umbridge.mother.identity|Characters and history|Who is Dolores Umbridge's Muggle mother?|Ellen Cracknell|Hope Howell|Isobel Ross|Petunia Evans|Rowling names her mother Ellen Cracknell.|umbridge-history
ga_12_34|umbridge.brother.status|Characters and history|What is the magical status of Umbridge's brother?|Squib|Animagus|Werewolf|Metamorphmagus|Her brother has no magical powers.|umbridge-history
ga_12_35|lupin.childhood.attacker|Characters and history|Which werewolf bites Remus Lupin as a child?|Fenrir Greyback|Wagga Wagga's werewolf|Alecto Carrow|Antonin Dolohov|Greyback attacks Remus to punish his father.|lupin-history
ga_12_36|lupin.bite.age|Characters and history|How old is Remus when Greyback bites him?|Four|Six|Eight|Eleven|The attack occurs shortly before his fifth birthday.|lupin-history
ga_12_37|lockhart.valentine.cards|Characters and history|How many Valentine's cards does young Lockhart send himself in Rowling's biography?|Eight hundred|Eighty|Two hundred|Eight thousand|The resulting owl delivery disrupts breakfast.|lockhart-history
ga_12_38|lockhart.sisters.count|Characters and history|How many older sisters does Gilderoy Lockhart have?|Two|One|Three|Four|He is the only magical child among the three siblings.|lockhart-history
ga_12_39|woods.silver.spears|Wizarding objects|Which wand wood was required by the Silver Spears duelling club?|Aspen|Ash|Elm|Cedar|Ollivander associates the club exclusively with aspen.|wand-woods-new
ga_12_40|nick.full.name|Characters and history|What is Nearly Headless Nick's full name?|Nicholas de Mimsy-Porpington|Patrick Delaney-Podmore|Anthony de Mimsy-Porpington|Nicholas Delaney-Podmore|Nick is Sir Nicholas de Mimsy-Porpington.|nick-profile
ga_13_31|mcgonagall.first.fiance|Characters and history|Which Muggle farmer's son was McGonagall's first fiance?|Dougal McGregor|Elphinstone Urquart|Ted Tonks|Robert McGonagall|She ends her engagement to Dougal before moving to London.|mcgonagall-history
ga_13_32|mcgonagall.ministry.department|Characters and history|In which Ministry department did McGonagall first work?|Magical Law Enforcement|Mysteries|Magical Transportation|International Magical Cooperation|Her first post was in Magical Law Enforcement.|mcgonagall-history
ga_13_33|umbridge.first.office|Characters and history|In which office does Umbridge begin as an intern?|Improper Use of Magic Office|Misuse of Muggle Artefacts Office|Auror Office|Floo Network Authority|Her Ministry career starts in the Improper Use office.|umbridge-history
ga_13_34|umbridge.father.department|Characters and history|Which Ministry department employs Orford Umbridge?|Magical Maintenance|Mysteries|Magical Transportation|International Magical Cooperation|Orford works in Magical Maintenance.|umbridge-history
ga_13_35|lupin.father.specialism|Characters and history|What is Lyall Lupin's specialist field?|Non-Human Spiritous Apparitions|Dragon breeding|Goblin banking law|Broom manufacture|His expertise includes Boggarts and poltergeists.|lupin-history
ga_13_36|lupin.mother.employment|Characters and history|Where does Hope Howell work before marrying Lyall Lupin?|An insurance office in Cardiff|A library in London|A bakery in Bristol|A hospital in Edinburgh|Rowling places her in a Cardiff insurance office.|lupin-history
ga_13_37|draco.spouse.identity|Characters and history|Whom does Draco Malfoy marry after the war?|Astoria Greengrass|Pansy Parkinson|Daphne Greengrass|Millicent Bulstrode|Rowling names his wife Astoria Greengrass.|draco-history
ga_13_38|draco.son.name|Characters and history|What is Draco and Astoria's son's first name?|Scorpius|Abraxas|Regulus|Orion|Their son is Scorpius Malfoy.|draco-history
ga_13_39|woods.blackwalnut.deception|Wizarding objects|Which wand wood loses power when its owner deceives themselves?|Black walnut|Alder|Maple|Pear|Ollivander describes black walnut as sensitive to self-deception.|wand-woods-new
ga_13_40|trelawney.prophecy.memory|Characters and history|After a genuine prophetic trance, what does Trelawney remember of it?|Nothing|Every word|Only the final sentence|Only the listener's name|She does not recall her authentic predictions.|trelawney-history
ga_14_31|lockhart.signature.pitch|Characters and history|How long are the letters in Lockhart's signature carved into the Quidditch pitch?|Twenty feet|Two feet|Five feet|Fifty feet|His attention-seeking stunt earns a week's detention.|lockhart-history
ga_14_32|lockhart.surname.inspiration|Characters and history|Where did Rowling find the surname Lockhart?|A war memorial|A railway timetable|A restaurant menu|A school prospectus|She noticed it on a war memorial.|lockhart-history
ga_14_33|mcgonagall.brothers.names|Characters and history|What are Minerva McGonagall's brothers called?|Malcolm and Robert|Martin and Richard|Michael and Roger|Marcus and Ronald|Rowling names them Malcolm and Robert Junior.|mcgonagall-history
ga_14_34|quirrell.first.name|Characters and history|What is Professor Quirrell's first name?|Quirinus|Quintus|Quintin|Quillan|Rowling connects Quirinus with a Roman deity.|quirrell-history
ga_14_35|quirrell.deity.association|Characters and history|With what is the Roman god Quirinus commonly associated in Rowling's naming note?|War|Harvests|The sea|Wine|The martial association hints at Quirrell's hidden nature.|quirrell-history
ga_14_36|woods.ollivander.father|Wizarding objects|What is Garrick Ollivander's father's first name in the wand-woods essay?|Gervaise|Gerbold|Godric|Gellert|Garrick names Gervaise in his cedar notes.|wand-woods-new
ga_14_37|trelawney.surname.origin|Characters and history|From which English region did Rowling choose the surname Trelawney?|Cornwall|Yorkshire|Kent|Norfolk|Her author note describes choosing a Cornish surname.|trelawney-history
ga_14_38|draco.childhood.friend|Characters and history|Which student, besides Crabbe, is named as Draco's childhood acquaintance in Rowling's essay?|Theodore Nott|Dean Thomas|Ernie Macmillan|Terry Boot|Theodore knew Draco before Hogwarts.|draco-history
ga_14_39|acromantula.maximum.span|Magical creatures|What maximum leg span does the official Acromantula profile describe?|Fifteen feet|Five feet|Thirty feet|Fifty feet|An Acromantula can span fifteen feet.|acromantula-profile
ga_14_40|centaur.origin.greece|Magical creatures|Which country is given as the centaurs' origin in the official creature profile?|Greece|Egypt|India|Norway|The profile traces centaurs to Greece.|centaur-profile
ga_15_31|lupin.parents.cake|Characters and history|What creature decorates Lyall and Hope's wedding cake in Rowling's Lupin biography?|A Boggart|A unicorn|A phoenix|A dragon|A Boggart recalls the encounter that brought them together.|lupin-history
